[2025-06-20 15:27:11] System: CPU=95.4%, Mem=47.2%, Net=108MB Sent
[2025-06-20 15:27:14] System: CPU=98.2%, Mem=47.2%, Net=109MB Sent
[2025-06-20 15:27:16] System: CPU=95.5%, Mem=47.1%, Net=109MB Sent
[2025-06-20 15:27:19] System: CPU=63.3%, Mem=47.3%, Net=109MB Sent
[2025-06-20 15:27:22] System: CPU=42.9%, Mem=47.4%, Net=109MB Sent
[2025-06-20 15:27:25] System: CPU=54.8%, Mem=47.3%, Net=109MB Sent
[2025-06-20 15:27:28] System: CPU=49.6%, Mem=47.2%, Net=109MB Sent
[2025-06-20 15:27:31] System: CPU=42.4%, Mem=47.0%, Net=110MB Sent
[2025-06-20 15:27:34] System: CPU=49.8%, Mem=47.0%, Net=110MB Sent
[2025-06-20 15:27:37] System: CPU=54.9%, Mem=46.9%, Net=110MB Sent
[2025-06-20 15:27:40] System: CPU=41.2%, Mem=46.4%, Net=110MB Sent
[2025-06-20 15:27:43] System: CPU=36.9%, Mem=46.5%, Net=110MB Sent
[2025-06-20 15:27:46] System: CPU=71.4%, Mem=46.5%, Net=110MB Sent
[2025-06-20 15:27:50] System: CPU=86.4%, Mem=46.8%, Net=110MB Sent
[2025-06-20 15:27:52] System: CPU=72.6%, Mem=46.7%, Net=110MB Sent
[2025-06-20 15:27:56] System: CPU=80.8%, Mem=46.8%, Net=110MB Sent
[2025-06-20 15:27:58] System: CPU=34.6%, Mem=47.0%, Net=110MB Sent
[2025-06-20 15:28:03] System: CPU=100.0%, Mem=47.3%, Net=110MB Sent
[2025-06-20 15:28:31] dllhost.exe | PID: 13172 | Parent: DESKTOP-3AJNAKS | Path: C:\Windows\system32\DllHost.exe | Threat: Low
[2025-06-20 15:28:32] dllhost.exe | PID: 13172 | Parent: DESKTOP-3AJNAKS | Path: C:\Windows\system32\DllHost.exe | Threat: Low
[2025-06-20 15:28:40] dllhost.exe | PID: 10408 | Parent: DESKTOP-3AJNAKS | Path: C:\Windows\system32\DllHost.exe | Threat: Low
[2025-06-20 15:28:40] dllhost.exe | PID: 10408 | Parent: DESKTOP-3AJNAKS | Path: C:\Windows\system32\DllHost.exe | Threat: Low
[2025-06-20 15:28:47] System: CPU=40.4%, Mem=49.0%, Net=112MB Sent
[2025-06-20 15:28:52] SearchProtocolHost.exe | PID: 13540 | Parent: DESKTOP-3AJNAKS | Path: C:\Windows\system32\SearchProtocolHost.exe | Threat: Low
[2025-06-20 15:28:52] SearchProtocolHost.exe | PID: 13540 | Parent: DESKTOP-3AJNAKS | Path: C:\Windows\system32\SearchProtocolHost.exe | Threat: Low
[2025-06-20 15:29:47] System: CPU=65.0%, Mem=48.9%, Net=117MB Sent
[2025-06-20 15:30:47] System: CPU=41.7%, Mem=48.8%, Net=122MB Sent
[2025-06-20 15:31:47] System: CPU=39.5%, Mem=48.6%, Net=127MB Sent
[2025-06-20 15:32:26] dllhost.exe | PID: 8440 | Parent: DESKTOP-3AJNAKS | Path: C:\Windows\system32\DllHost.exe | Threat: Low
